Comments,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth (MCD) (CCSF),Depth comp [mcd] (two-site composite (Depth CCS...),Ca_Area,Ca_Area_corrected,Fe_Area,Fe_Area_corrected,Al_Area,Al_Area_corrected,Al_ DArea,Si_Area,Si_Area_corrected,Si_ DArea,P_Area,P_ DArea,S_Area,S_ DArea,Cl_Area,Cl_Area_corrected,Cl_ DArea,Ar_Area,Ar_ DArea,K_Area,K_Area_corrected,K_ DArea,Ca_ DArea,Ti_Area,Ti_Area_corrected,Ti_ DArea,Cr_Area,Cr_ DArea,Mn_Area,Mn_Area_corrected,Mn_ DArea,Fe_ DArea,Rh_Area,Rh_Area_corrected,Rh_ DArea,Ba_Area,Ba_ DArea
,342,U1408,C,4,H,4,100,,25.9,28.2,29.14,727501,727501,437975,437975,29954,29954,8,296624,296624,18,-311,6,4745,7,120035,,17,-16799,11,145224,,16,29,45379,45379,11,2254,10,1494,,10,23,119525,,18,2370,7
,342,U1408,C,4,H,4,120,,25.92,28.22,29.16,748019,748019,430171,430171,29263,29263,8,295308,295308,18,-504,6,5263,7,116905,,17,-17749,11,143735,,16,29,44813,44813,11,2475,10,1661,,10,23,117959,,18,2557,7
,342,U1408,C,4,H,4,140,,25.94,28.24,29.18,742491,742491,430483,430483,29120,29120,8,291067,291067,18,-605,6,5133,7,120953,,17,-16474,11,138271,,16,29,45096,45096,11,2354,10,808,,10,23,119975,,18,2123,7
,342,U1408,C,4,H,4,160,,25.96,28.26,29.20,747473,747473,425061,425061,27419,27419,8,275548,275548,18,-1036,6,5747,7,123076,,17,-14745,11,133885,,16,29,43668,43668,11,3031,10,1140,,10,23,114378,,18,2480,7
,342,U1408,C,4,H,4,180,,25.98,28.28,29.22,632847,632847,494152,494152,26960,26960,8,278926,278926,18,-479,6,7557,7,130807,,17,-17069,11,131019,,16,27,44664,44664,11,2145,10,944,,10,24,119135,,18,1969,7
,342,U1408,C,4,H,4,200,,26,28.3,29.24,581082,581082,487097,487097,27909,27909,8,279675,279675,18,-291,6,6179,7,130297,,17,-15206,11,135101,,16,26,46002,46002,11,1976,10,1252,,10,24,113114,,18,2220,7
,342,U1408,C,4,H,4,220,,26.02,28.32,29.26,652171,652171,494904,494904,30175,30175,8,298665,298665,18,-283,6,6498,7,130786,,17,-17096,11,140017,,16,27,48725,48725,11,1316,10,825,,10,24,127110,,19,2668,8
,342,U1408,C,4,H,4,240,,26.04,28.34,29.28,659735,659735,473376,473376,30501,30501,8,296957,296957,18,-363,6,5813,7,132355,,17,-16035,11,142570,,16,28,48217,48217,11,1072,10,1051,,10,24,121847,,18,2118,8
,342,U1408,C,4,H,4,260,,26.06,28.36,29.30,656073,656073,487249,487249,30760,30760,8,295037,295037,18,-632,6,5175,7,135916,,18,-18700,11,142073,,16,28,49521,49521,12,1953,10,1544,,11,24,130056,,19,2637,8
,342,U1408,C,4,H,4,280,,26.08,28.38,29.32,610621,610621,483706,483706,28774,28774,8,287122,287122,18,-440,6,5828,7,137928,,18,-16461,11,137717,,16,27,47722,47722,11,1402,10,1687,,10,24,125026,,19,2092,8
